Date,Open,High,Low,Close,Adj Close,Volume
2016-01-06,12.500000,12.600000,12.500000,12.600000,12.600000,4100
2016-01-07,12.600000,12.600000,12.600000,12.600000,12.600000,0
2016-01-08,12.600000,12.600000,12.600000,12.600000,12.600000,0
2016-01-11,11.500000,11.650000,11.000000,11.000000,11.000000,2100
2016-01-12,11.000000,11.000000,11.000000,11.000000,11.000000,0
2016-01-13,11.000000,11.000000,11.000000,11.000000,11.000000,0
2016-01-14,11.000000,11.000000,11.000000,11.000000,11.000000,5200
2016-01-15,11.000000,11.000000,11.000000,11.000000,11.000000,0
2016-01-19,11.000000,11.000000,11.000000,11.000000,11.000000,0
2016-01-20,11.000000,11.000000,11.000000,11.000000,11.000000,0
2016-01-21,11.000000,11.000000,11.000000,11.000000,11.000000,0
2016-01-22,11.180000,11.180000,11.130000,11.130000,11.130000,900
2016-01-25,11.130000,11.130000,11.130000,11.130000,11.130000,0
2016-01-26,11.380000,11.480000,11.380000,11.480000,11.480000,800
2016-01-27,11.210000,11.210000,11.210000,11.210000,11.210000,100
2016-01-28,11.180000,11.540000,11.000000,11.000000,11.000000,2200
2016-01-29,10.530000,10.530000,10.530000,10.530000,10.530000,200
2016-02-01,10.530000,10.530000,10.530000,10.530000,10.530000,0
2016-02-02,10.530000,10.530000,10.530000,10.530000,10.530000,0
2016-02-03,10.430000,10.430000,10.430000,10.430000,10.430000,500
2016-02-04,10.430000,10.430000,10.430000,10.430000,10.430000,0
2016-02-05,10.430000,10.430000,10.430000,10.430000,10.430000,0
2016-02-08,10.750000,10.750000,10.750000,10.750000,10.750000,1400
2016-02-09,10.750000,10.750000,10.750000,10.750000,10.750000,0
2016-02-10,9.990000,9.990000,9.340000,9.340000,9.340000,900
2016-02-11,9.340000,9.340000,9.340000,9.340000,9.340000,0
2016-02-12,9.340000,9.340000,9.340000,9.340000,9.340000,0
2016-02-16,9.740000,9.740000,9.740000,9.740000,9.740000,300
2016-02-17,9.740000,9.740000,9.740000,9.740000,9.740000,0
2016-02-18,9.740000,9.740000,9.740000,9.740000,9.740000,0
2016-02-19,9.740000,9.740000,9.740000,9.740000,9.740000,0
2016-02-22,10.200000,10.200000,10.200000,10.200000,10.200000,100
2016-02-23,10.260000,10.490000,10.260000,10.490000,10.490000,600
2016-02-24,10.490000,10.490000,10.490000,10.490000,10.490000,0
2016-02-25,10.490000,10.490000,10.490000,10.490000,10.490000,0
2016-02-26,10.490000,10.490000,10.490000,10.490000,10.490000,0
2016-02-29,10.230000,10.230000,10.230000,10.230000,10.230000,1000
2016-03-01,9.750000,9.750000,9.750000,9.750000,9.750000,100
2016-03-02,10.310000,10.310000,10.310000,10.310000,10.310000,300
2016-03-03,10.000000,10.000000,10.000000,10.000000,10.000000,500
2016-03-04,10.000000,10.000000,10.000000,10.000000,10.000000,0
2016-03-07,10.550000,10.550000,10.550000,10.550000,10.550000,1000
2016-03-08,10.550000,10.550000,10.550000,10.550000,10.550000,0
2016-03-09,10.550000,10.550000,10.550000,10.550000,10.550000,0
2016-03-10,10.550000,10.550000,10.550000,10.550000,10.550000,0
2016-03-11,10.550000,10.550000,10.550000,10.550000,10.550000,0
2016-03-14,10.550000,10.550000,10.550000,10.550000,10.550000,0
2016-03-15,10.280000,10.280000,10.280000,10.280000,10.280000,400
2016-03-16,10.280000,10.280000,10.280000,10.280000,10.280000,0
2016-03-17,10.280000,10.280000,10.280000,10.280000,10.280000,0
2016-03-18,10.280000,10.280000,10.280000,10.280000,10.280000,0
2016-03-21,10.140000,10.140000,10.140000,10.140000,10.140000,700
2016-03-22,10.150000,10.150000,10.150000,10.150000,10.150000,200
2016-03-23,10.500000,10.500000,10.500000,10.500000,10.500000,200
2016-03-24,9.770000,9.770000,9.770000,9.770000,9.770000,200
2016-03-28,9.770000,9.770000,9.770000,9.770000,9.770000,0
2016-03-29,9.770000,9.770000,9.770000,9.770000,9.770000,0
2016-03-30,10.060000,10.060000,10.060000,10.060000,10.060000,400
2016-03-31,10.400000,10.410000,10.400000,10.410000,10.410000,2400
2016-04-01,10.410000,10.410000,10.410000,10.410000,10.410000,0
2016-04-04,10.410000,10.410000,10.410000,10.410000,10.410000,0
2016-04-05,10.950000,11.000000,10.950000,11.000000,11.000000,1500
2016-04-06,11.000000,11.000000,11.000000,11.000000,11.000000,0
2016-04-07,11.000000,11.000000,11.000000,11.000000,11.000000,0
2016-04-08,11.000000,11.000000,11.000000,11.000000,11.000000,400
2016-04-11,11.300000,11.510000,11.300000,11.510000,11.510000,2200
2016-04-12,11.750000,11.750000,11.750000,11.750000,11.750000,600
2016-04-13,12.300000,12.300000,12.260000,12.260000,12.260000,700
2016-04-14,12.260000,12.260000,12.260000,12.260000,12.260000,0
2016-04-15,12.260000,12.260000,12.260000,12.260000,12.260000,400
2016-04-18,12.260000,12.260000,12.260000,12.260000,12.260000,0
2016-04-19,11.880000,11.880000,11.880000,11.880000,11.880000,200
2016-04-20,11.880000,11.880000,11.880000,11.880000,11.880000,0
2016-04-21,11.880000,11.880000,11.880000,11.880000,11.880000,0
2016-04-22,11.880000,11.880000,11.880000,11.880000,11.880000,0
2016-04-25,11.880000,11.880000,11.880000,11.880000,11.880000,0
2016-04-26,11.360000,11.610000,11.360000,11.610000,11.610000,1100
2016-04-27,11.600000,11.600000,11.600000,11.600000,11.600000,500
